House Vote #564 2014-12-11T21:49:00 - H.R. 5699 (113th): John Muir National Historic Site Expansion Act
person,state,district,vote,name,party
412284,KS,2,Yea,"Rep. Lynn Jenkins [R, 2009-2016]",Republican
412286,AZ,1,Yea,"Rep. Ann Kirkpatrick [D, 2013-2016]",Democrat
412290,NJ,7,Yea,"Rep. Leonard Lance [R, 2009-2016]",Republican
412292,MO,3,Yea,"Rep. Blaine Luetkemeyer [R, 2013-2016]",Republican
412293,NM,3,Yea,"Rep. Ben Luján [D, 2009-2016]",Democrat
412294,WY,0,Nay,"Rep. Cynthia Lummis [R, 2009-2016]",Republican
412295,CA,4,Yea,"Rep. Tom McClintock [R, 2009-2016]",Republican
412297,NY,24,Yea,"Rep. Daniel Maffei [D, 2013-2014]",Democrat
412302,TX,22,Yea,"Rep. Pete Olson [R, 2009-2016]",Republican
412303,MN,3,Yea,"Rep. Erik Paulsen [R, 2009-2016]",Republican
412305,MI,14,Yea,"Rep. Gary Peters [D, 2013-2014]",Democrat
412307,ME,1,Yea,"Rep. Chellie Pingree [D, 2009-2016]",Democrat
412308,CO,2,Yea,"Rep. Jared Polis [D, 2009-2016]",Democrat
412309,FL,8,Yea,"Rep. Bill Posey [R, 2013-2016]",Republican
412310,TN,1,Yea,"Rep. David “Phil” Roe [R, 2009-2016]",Republican
412311,FL,17,Yea,"Rep. Thomas Rooney [R, 2013-2016]",Republican
412314,IL,18,Yea,"Rep. Aaron Schock [R, 2009-2015]",Republican
412315,OR,5,Not Voting,"Rep. Kurt Schrader [D, 2009-2016]",Democrat
412317,PA,5,Yea,"Rep. Glenn Thompson [R, 2009-2016]",Republican
412318,NV,1,Yea,"Rep. Dina Titus [D, 2013-2016]",Democrat
412319,NY,20,Yea,"Rep. Paul Tonko [D, 2013-2016]",Democrat
412327,OH,11,Yea,"Rep. Marcia Fudge [D, 2008-2016]",Democrat
412331,IL,5,Yea,"Rep. Mike Quigley [D, 2009-2016]",Democrat
412379,CA,27,Yea,"Rep. Judy Chu [D, 2013-2016]",Democrat
412382,CA,3,Yea,"Rep. John Garamendi [D, 2013-2016]",Democrat
412383,NY,21,Yea,"Rep. William Owens [D, 2013-2014]",Democrat
412385,FL,21,Yea,"Rep. Theodore Deutch [D, 2013-2016]",Democrat
412388,GA,14,Nay,"Rep. Tom Graves [R, 2013-2016]",Republican
412392,IN,3,Yea,"Rep. Marlin Stutzman [R, 2010-2016]",Republican
412393,NY,23,Yea,"Rep. Tom Reed II [R, 2013-2016]",Republican
